,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,CONDICION_VICTIMA,LESIONADO,HOMICIDIOS,TIPO_ACCIDENTE,HIPOTESIS,GENERO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
0,HERIDOS,2021-01-02,2021,19:30,NOCHE,SABADO,RESERVAS ZAMORANO,DIAGONAL 58 CARRERA 34,URBANA,TECNICO,3.55071,-76.30252,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,PALMIRA,MOTO,HONDA,NO APLICA 2021,PARTICULAR,NO APLICA
1,HERIDOS,2021-01-02,2021,19:30,NOCHE,SABADO,CORONADO,DIAGONAL 58 CARRERA 34,URBANA,TECNICO,3.55071,-76.30252,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,MOTO,YAMAHA,NO APLICA 2021,PARTICULAR,NO APLICA
2,DAÑOS,2021-01-04,2021,09:35,MAÑANA,LUNES,COLOMBIA,CALLE 33 CARRERA 32,URBANA,TECNICO,3.53091,-76.30202,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,AUTOMOVIL,CHEVROLET,NO APLICA 2021,PUBLICO,COOP TRANS PALMERAS
3,DAÑOS,2021-01-04,2021,09:35,MAÑANA,LUNES,COLOMBIA,CALLE 33 CARRERA 32,URBANA,TECNICO,3.53091,-76.30202,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,CAMPERO,FORD,NO APLICA 2021,PARTICULAR,NO APLICA
4,MUERTO,2021-01-01,2021,03:50,MADRUGADA,VIERNES,HAROLD EDER,CALLE 51 CARRERA 38,URBANA,TECNICO,3.54452,-76.31069,MOTOCICLISTA,NO APLICA,1,CHOQUE,NO APLICA 2021,MASCULINO,PALMA,MOTO,NO APLICA,NO APLICA 2021,PARTICULAR,NO APLICA
5,HERIDOS,2021-01-04,2021,16:50,TARDE,LUNES,URIBE,CALLE 31 CARRERA 22,URBANA,TECNICO,3.5285,-76.30231,NO APLICA,NO APLICA,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,NO APLICA,CAMPERO,TOYOTA,NO APLICA 2021,PARTICULAR,NO APLICA
6,HERIDOS,2021-01-04,2021,16:50,TARDE,LUNES,URIBE,CALLE 31 CARRERA 22,URBANA,TECNICO,3.5285,-76.30231,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,PALMIRA,MOTO,HONDA,NO APLICA 2021,PARTICULAR,NO APLICA
7,HERIDOS,2021-01-04,2021,16:50,TARDE,LUNES,URIBE,CALLE 31 CARRERA 22,URBANA,TECNICO,3.5285,-76.30231,ACOMPAÑANTE MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,FEMENINA,PALMIRA,NO APLICA,NO APLICA,NO APLICA 2021,NO APLICA,NO APLICA
8,HERIDOS,2021-01-04,2021,18:45,NOCHE,LUNES,CAÑA MIEL,CALLE 44 CARRERA 19-18,URBANA,TECNICO,3.53841,-76.29078,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,PALMA,MOTO,HERO,NO APLICA 2021,PARTICULAR,NO APLICA
9,HERIDOS,2021-01-04,2021,18:45,NOCHE,LUNES,CAÑA MIEL,CALLE 44 CARRERA 19-18,URBANA,TECNICO,3.53841,-76.29078,MOTOCICLISTA,1,NO APLICA,CHOQUE,NO APLICA 2021,MASCULINO,PALMA,MOTO,HONDA,NO APLICA 2021,PARTICULAR,NO APLICA
