,GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIO-CORREGIMIENTO-VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION_VICTIMA,TIPO_ACCIDENTE,GENERO,LESIONADO,CLINICA,CLASE_VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA,HOMICIDIOS
0,HERIDOS,2022-01-01,2022,09:30,MAÑANA,SABADO,BARRIO NUEVO,CALLE 19 CARRERA 32,URBANA,TECNICO,3.51833,-76.304,IMPERICIA EN EL MANEJO,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMIRA,MOTO,YAMAHA,META,PARTICULAR,NO APLICA,0
1,HERIDOS,2022-01-01,2022,09:30,MAÑANA,SABADO,BARRIO NUEVO,CALLE 19 CARRERA 32,URBANA,TECNICO,3.51833,-76.304,IMPERICIA EN EL MANEJO,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMIRA,MOTO,SUZUKI,FLORIDA,PARTICULAR,NO APLICA,0
2,HERIDOS,2022-01-01,2022,11:15,MAÑANA,SABADO,POBLADO,CARRERA 18 CALLE 44,URBANA,TECNICO,3.53869,-76.28967,NO RESPETAR PRELACION,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,MOTO,YAMAHA,ARMENIA,PARTICULAR,NO APLICA,0
3,HERIDOS,2022-01-01,2022,11:15,MAÑANA,SABADO,POBLADO,CARRERA 18 CALLE 44,URBANA,TECNICO,3.53869,-76.28967,NO RESPETAR PRELACION,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMIRA,MOTO,YAMAHA,PALMIRA,PARTICULAR,NO APLICA,0
4,HERIDOS,2022-01-01,2022,11:15,MAÑANA,SABADO,POBLADO,CARRERA 18 CALLE 44,URBANA,TECNICO,3.53869,-76.28967,NO RESPETAR PRELACION,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,FEMENINA,LESIONADO,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,0
5,HERIDOS,2022-01-01,2022,13:10,TARDE,SABADO,CENTRO,CALLE 29 CARRERA 32,URBANA,TECNICO,3.52657,-76.30258,SEMAFORO EN ROJO,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,CAMIONETA,CHEVROLET,PALMIRA,PARTICULAR,NO APLICA,0
6,HERIDOS,2022-01-01,2022,13:10,TARDE,SABADO,CENTRO,CALLE 29 CARRERA 32,URBANA,TECNICO,3.52657,-76.30258,SEMAFORO EN ROJO,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMIRA,MOTO,SUZUKI,GUACARI,PARTICULAR,NO APLICA,0
7,HERIDOS,2022-01-01,2022,18:00,NOCHE,SABADO,VIA PALMIRA BOLO,KM 2,RURAL,TECNICO,3.50154,-76.31755,INVADIR CARRIL SENTIDO CONTRARIO,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,BUS,HINO,CANDELARIA,PUBLICO,SULTANA,0
8,HERIDOS,2022-01-01,2022,18:00,NOCHE,SABADO,VIA PALMIRA BOLO,KM 2,RURAL,TECNICO,3.50154,-76.31755,INVADIR CARRIL SENTIDO CONTRARIO,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,PALMIRA,MOTO,BAJAJ,PALMIRA,PARTICULAR,NO APLICA,0
9,MUERTO,2022-01-01,2022,21:23,NOCHE,SABADO,CENTRO POBLADO ROZO,CALLE 10 CARRERA 14A-418,RURAL,TECNICO,3.61496,-76.39031,POR ESTABLECER,MOTOCICLISTA,CHOQUE,MASCULINO,MUERTO,NO APLICA,MOTO,HONDA,PALMIRA,PARTICULAR,NO APLICA,1
10,MUERTO,2022-01-01,2022,21:23,NOCHE,SABADO,CENTRO POBLADO ROZO,CALLE 10 CARRERA 14A-418,RURAL,TECNICO,3.61496,-76.39031,POR ESTABLECER,MOTOCICLISTA,CHOQUE,MASCULINO,LESIONADO,RAUL,MOTO,HONDA,CALI,PARTICULAR,NO APLICA,0
11,MUERTO,2022-01-01,2022,21:23,NOCHE,SABADO,CENTRO POBLADO ROZO,CALLE 10 CARRERA 14A-418,RURAL,TECNICO,3.61496,-76.39031,POR ESTABLECER,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,FEMENINA,LESIONADO,RAUL,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,0
12,HERIDOS,2022-01-01,2022,22:20,NOCHE,SABADO,COLOMBIA,CARRERA 32 CALLE 35,URBANA,TECNICO,3.53249,-76.30178,DESOBEDESER SEÑAL,NO APLICA,CHOQUE,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA,0
